Date,Close/Last,Volume,Open,High,Low
05/24/2023,$85.17,1767851,$85.79,$86.40,$85.12
05/23/2023,$86.00,1812073,$86.13,$86.833,$85.88
05/22/2023,$86.41,1457995,$87.16,$87.43,$86.29
05/19/2023,$86.56,2117119,$86.74,$87.46,$86.445
05/18/2023,$86.64,2595375,$86.47,$86.76,$85.74
05/17/2023,$87.07,2674922,$88.17,$88.22,$86.33
05/16/2023,$88.09,2482968,$90.23,$90.33,$88.02
05/15/2023,$90.09,2788632,$91.99,$92.10,$89.61
05/12/2023,$91.66,3314668,$91.42,$91.93,$91.03
05/11/2023,$90.68,1676944,$91.42,$91.79,$90.19
05/10/2023,$91.72,1657731,$91.52,$92.02,$90.70
05/09/2023,$91.10,2026739,$91.00,$91.32,$90.26
05/08/2023,$92.14,2476730,$92.06,$92.88,$91.44
05/05/2023,$92.11,3328668,$90.92,$92.26,$90.75
05/04/2023,$91.44,2365083,$90.61,$92.38,$89.66
05/03/2023,$90.87,1998573,$91.74,$92.14,$90.67
05/02/2023,$91.28,2134305,$92.75,$92.89,$90.7263
05/01/2023,$92.65,3046293,$92.30,$93.555,$92.02
04/28/2023,$92.42,2621639,$92.62,$93.29,$91.42
04/27/2023,$92.81,2004720,$92.36,$93.22,$92.225
04/26/2023,$92.25,1998896,$93.73,$94.215,$92.01
04/25/2023,$94.38,1642543,$94.22,$94.7251,$94.06
04/24/2023,$94.24,2197403,$93.69,$94.48,$93.24
04/21/2023,$93.92,2506871,$94.08,$94.40,$93.3231
04/20/2023,$93.51,2099743,$93.79,$94.015,$93.10
04/19/2023,$93.54,1622097,$92.95,$93.55,$92.68
04/18/2023,$92.47,2070949,$93.41,$93.41,$92.06
04/17/2023,$93.29,1632041,$93.05,$93.60,$92.38
04/14/2023,$92.50,1994116,$92.95,$93.22,$92.10
04/13/2023,$93.97,2062425,$93.90,$94.19,$92.08
04/12/2023,$94.26,2434324,$94.60,$94.86,$93.85
04/11/2023,$94.34,2682617,$94.54,$94.70,$93.70
04/10/2023,$94.44,1977375,$94.51,$94.75,$93.38
04/06/2023,$94.89,2991555,$95.33,$96.05,$93.92
04/05/2023,$94.54,4232666,$91.82,$94.91,$91.74
04/04/2023,$91.17,3146916,$90.68,$91.34,$90.40
04/03/2023,$90.90,2926225,$90.47,$91.62,$90.11
03/31/2023,$90.99,2210556,$90.85,$91.14,$90.31
03/30/2023,$90.43,3617619,$90.39,$91.18,$88.58
03/29/2023,$90.10,3185933,$89.285,$90.12,$89.21
03/28/2023,$88.93,2158852,$88.53,$89.89,$88.46
03/27/2023,$88.55,1918987,$89.44,$89.87,$88.41
03/24/2023,$89.09,2527255,$85.65,$89.11,$85.526
03/23/2023,$85.41,3862112,$86.81,$87.53,$85.21
03/22/2023,$86.85,3156028,$88.76,$89.45,$86.81
03/21/2023,$88.90,4532026,$91.69,$91.79,$87.73
03/20/2023,$91.76,2718340,$91.16,$92.4501,$90.86
