Date,Close/Last,Volume,Open,High,Low
05/24/2023,$77.81,5347904,$79.05,$79.39,$77.77
05/23/2023,$79.13,5284064,$79.10,$79.505,$78.74
05/22/2023,$79.06,8163965,$78.71,$79.35,$78.59
05/19/2023,$78.59,6297394,$78.25,$78.775,$78.11
05/18/2023,$78.19,5276422,$78.00,$78.35,$77.52
05/17/2023,$77.89,4644314,$77.77,$78.185,$77.35
05/16/2023,$77.78,6491829,$77.712,$78.04,$77.145
05/15/2023,$78.33,12994910,$77.31,$78.82,$77.115
05/12/2023,$77.37,5799978,$76.60,$78.18,$76.60
05/11/2023,$77.04,6943009,$76.27,$77.27,$76.06
05/10/2023,$76.00,7229577,$76.60,$76.65,$75.50
05/09/2023,$75.51,4752782,$75.27,$75.55,$74.895
05/08/2023,$75.55,4070612,$75.68,$76.05,$75.44
05/05/2023,$76.00,5202698,$74.83,$76.03,$74.81
05/04/2023,$74.59,9622267,$74.90,$74.925,$73.605
05/03/2023,$75.23,5609730,$75.75,$76.18,$75.14
05/02/2023,$76.00,9071870,$77.04,$77.10,$75.505
05/01/2023,$77.43,5703486,$77.60,$77.84,$77.2905
04/28/2023,$77.71,9825598,$77.66,$77.89,$76.94
04/27/2023,$77.61,12145620,$77.17,$77.86,$76.82
04/26/2023,$76.81,50205910,$79.095,$79.77,$76.50
04/25/2023,$86.74,13383730,$85.91,$87.01,$85.56
04/24/2023,$86.09,8154567,$85.25,$86.25,$85.08
04/21/2023,$85.53,5611857,$85.70,$85.94,$85.44
04/20/2023,$85.57,7029840,$85.66,$86.12,$85.49
04/19/2023,$85.50,5069401,$85.41,$85.75,$85.40
04/18/2023,$85.55,4999316,$85.60,$85.855,$85.33
04/17/2023,$85.50,4584616,$85.08,$85.53,$84.62
04/14/2023,$85.27,3539575,$85.28,$85.64,$85.06
04/13/2023,$85.58,5447342,$85.37,$85.785,$85.26
04/12/2023,$84.95,7115288,$85.28,$85.50,$84.87
04/11/2023,$85.09,8328350,$85.26,$85.68,$84.99
04/10/2023,$85.48,4948951,$85.24,$85.60,$84.9626
04/06/2023,$85.22,6623776,$85.50,$85.65,$85.18
04/05/2023,$85.38,7539062,$85.20,$85.88,$84.905
04/04/2023,$85.11,7712734,$85.13,$85.5701,$85.01
04/03/2023,$85.33,6474703,$85.41,$85.67,$84.46
03/31/2023,$85.59,5235101,$84.95,$85.74,$84.70
03/30/2023,$84.89,5052990,$84.75,$85.10,$84.62
03/29/2023,$84.54,6681605,$84.385,$84.60,$84.15
03/28/2023,$84.35,5447091,$84.50,$84.75,$84.0432
03/27/2023,$84.33,7290581,$84.12,$84.93,$84.08
03/24/2023,$84.39,24513410,$84.84,$85.72,$83.32
03/23/2023,$79.68,4252999,$79.57,$80.20,$79.2464
03/22/2023,$78.64,3596234,$79.50,$79.99,$78.62
03/21/2023,$79.75,5403206,$79.51,$80.01,$79.45
03/20/2023,$79.34,6440233,$79.16,$79.49,$77.50
03/17/2023,$78.99,9409231,$80.21,$80.28,$78.78
03/16/2023,$79.87,4883585,$78.86,$80.395,$78.83
03/15/2023,$79.26,7151572,$78.94,$79.28,$78.555
