Date,Close/Last,Volume,Open,High,Low
05/24/2023,$660.07,21497,$660.53,$666.77,$653.7101
05/23/2023,$661.36,32762,$658.95,$669.70,$657.705
05/22/2023,$663.58,33586,$667.00,$670.22,$658.15
05/19/2023,$664.30,38371,$661.48,$669.46,$649.57
05/18/2023,$655.78,40320,$637.58,$655.78,$637.58
05/17/2023,$638.00,32926,$638.11,$641.99,$635.33
05/16/2023,$637.00,51084,$632.99,$638.45,$625.56
05/15/2023,$633.05,29982,$631.54,$634.85,$629.2418
05/12/2023,$632.00,32995,$634.39,$634.39,$627.82
05/11/2023,$633.22,29175,$630.02,$634.09,$626.5401
05/10/2023,$629.92,34279,$635.03,$649.50,$628.00
05/09/2023,$629.74,46266,$653.00,$653.00,$626.87
05/08/2023,$651.97,35748,$658.93,$666.8175,$649.61
05/05/2023,$655.84,71997,$660.16,$670.9099,$646.21
05/04/2023,$657.69,81835,$620.00,$694.20,$610.47
05/03/2023,$590.91,44650,$597.80,$619.29,$590.91
05/02/2023,$593.82,38381,$596.80,$597.5699,$584.69
05/01/2023,$594.55,33261,$589.32,$596.72,$586.36
04/28/2023,$589.46,33544,$574.68,$593.53,$573.63
04/27/2023,$573.62,35670,$572.00,$579.82,$563.3812
04/26/2023,$570.66,32602,$562.62,$572.29,$559.32
04/25/2023,$560.45,29411,$557.55,$568.70,$554.00
04/24/2023,$558.39,31954,$554.19,$558.80,$552.3601
04/21/2023,$551.30,27360,$552.27,$554.09,$548.00
04/20/2023,$554.93,26604,$538.47,$555.73,$538.47
04/19/2023,$536.93,30612,$538.36,$541.77,$534.53
04/18/2023,$538.36,16588,$535.49,$538.6548,$533.91
04/17/2023,$533.30,36251,$537.75,$538.085,$529.68
04/14/2023,$535.82,27486,$537.37,$538.1017,$531.8301
04/13/2023,$537.37,22473,$531.00,$538.27,$530.00
04/12/2023,$531.00,19013,$538.70,$539.406,$529.97
04/11/2023,$533.00,27382,$537.03,$538.29,$530.00
04/10/2023,$536.85,27226,$528.89,$536.85,$527.37
04/06/2023,$530.68,18888,$532.07,$537.31,$527.59
04/05/2023,$532.07,31818,$521.44,$532.18,$521.44
04/04/2023,$519.85,46225,$540.00,$540.00,$519.14
