Date,Close/Last,Volume,Open,High,Low
05/24/2023,$125.40,1353477,$125.46,$126.12,$124.385
05/23/2023,$125.29,1663528,$124.50,$125.60,$124.02
05/22/2023,$125.12,1445793,$126.31,$126.70,$124.72
05/19/2023,$125.66,2240999,$126.50,$127.29,$125.105
05/18/2023,$126.21,2421312,$125.40,$126.30,$124.43
05/17/2023,$124.92,2899790,$124.28,$125.68,$123.5435
05/16/2023,$125.12,2664261,$124.28,$125.54,$123.945
05/15/2023,$124.84,1826477,$124.92,$125.51,$123.88
05/12/2023,$125.47,2533152,$125.88,$126.75,$124.74
05/11/2023,$125.32,3183855,$125.37,$126.74,$124.355
05/10/2023,$124.74,4824258,$129.32,$129.50,$122.93
05/09/2023,$125.41,2916915,$125.51,$126.55,$124.835
05/08/2023,$125.76,1831445,$125.25,$126.1786,$124.28
05/05/2023,$125.42,2806544,$123.78,$125.66,$123.27
05/04/2023,$124.01,2534448,$125.93,$125.98,$123.86
05/03/2023,$125.07,1769406,$126.31,$126.85,$124.82
05/02/2023,$126.16,1862088,$126.89,$127.42,$124.74
05/01/2023,$127.42,1438260,$127.14,$127.67,$126.34
04/28/2023,$127.28,1828737,$126.44,$127.70,$126.28
04/27/2023,$126.51,2465884,$124.05,$126.73,$124.05
04/26/2023,$125.12,4249853,$126.212,$127.04,$124.09
04/25/2023,$129.50,1424252,$128.99,$129.87,$128.87
04/24/2023,$129.48,1226669,$128.61,$129.61,$128.22
04/21/2023,$129.11,1679677,$129.05,$130.12,$128.695
04/20/2023,$128.80,1621153,$128.28,$129.58,$128.15
04/19/2023,$128.18,1221476,$128.58,$128.90,$128.06
04/18/2023,$129.04,1668714,$128.81,$129.38,$127.82
04/17/2023,$128.08,1534573,$127.37,$128.42,$127.12
04/14/2023,$127.87,1377184,$127.98,$128.53,$127.44
04/13/2023,$128.28,1637206,$126.58,$128.72,$126.58
04/12/2023,$126.13,1377225,$126.28,$127.1812,$125.82
04/11/2023,$125.68,1596116,$125.13,$126.25,$124.74
04/10/2023,$125.62,1421182,$124.79,$125.80,$123.74
04/06/2023,$125.16,1990976,$125.80,$126.05,$124.75
04/05/2023,$126.15,2564721,$125.24,$126.27,$124.84
04/04/2023,$125.24,3303839,$121.43,$125.47,$121.23
04/03/2023,$121.35,1946432,$120.14,$121.65,$119.60
03/31/2023,$120.45,2347256,$119.38,$120.53,$118.97
03/30/2023,$119.10,1979546,$120.00,$120.05,$118.84
03/29/2023,$119.19,1522847,$118.08,$119.33,$118.08
03/28/2023,$118.02,1551111,$118.085,$118.4425,$117.36
03/27/2023,$118.64,2276492,$118.90,$119.40,$118.14
03/24/2023,$119.03,2527332,$118.08,$119.205,$117.61
03/23/2023,$116.04,2436262,$113.79,$116.60,$113.665
03/22/2023,$113.16,2266927,$114.29,$115.10,$113.14
03/21/2023,$114.94,2428998,$113.11,$115.15,$113.11
03/20/2023,$113.52,1725671,$113.01,$114.28,$113.01
03/17/2023,$113.35,3077738,$113.65,$114.01,$112.98
03/16/2023,$113.53,2111095,$111.39,$113.79,$111.39
03/15/2023,$111.38,2803310,$111.39,$112.03,$110.72
03/14/2023,$111.48,2144449,$110.76,$112.055,$110.21
03/13/2023,$110.07,2662502,$109.53,$110.97,$108.53
03/10/2023,$109.19,2898407,$110.60,$111.89,$108.92
