Date,Close/Last,Volume,Open,High,Low
05/24/2023,$43.30,3486935,$43.96,$44.01,$43.035
05/23/2023,$43.78,4139005,$44.00,$44.175,$43.15
05/22/2023,$44.12,4693289,$43.92,$44.23,$43.745
05/19/2023,$43.48,4278231,$44.085,$44.185,$43.15
05/18/2023,$44.12,3241013,$43.81,$44.175,$43.44
05/17/2023,$43.88,4442508,$43.06,$43.96,$42.96
05/16/2023,$43.03,5571336,$44.62,$44.62,$43.02
05/15/2023,$45.13,4196501,$44.91,$45.48,$44.56
05/12/2023,$44.91,3690476,$45.70,$45.83,$44.635
05/11/2023,$45.78,3847536,$45.83,$45.90,$45.465
05/10/2023,$45.82,4297775,$46.21,$46.35,$45.235
05/09/2023,$45.81,3785023,$45.905,$46.38,$45.52
05/08/2023,$46.21,3781679,$45.79,$46.34,$45.465
05/05/2023,$45.63,5206444,$44.72,$45.71,$44.63
05/04/2023,$44.38,3301521,$44.97,$44.98,$44.275
05/03/2023,$44.77,4686177,$45.29,$45.77,$44.61
05/02/2023,$45.12,4035097,$45.61,$45.66,$44.52
05/01/2023,$45.66,4220828,$46.02,$46.35,$45.41
04/28/2023,$46.43,6704762,$45.52,$46.67,$45.39
04/27/2023,$45.56,11144640,$45.14,$45.86,$44.04
04/26/2023,$43.36,8552701,$43.50,$44.43,$43.215
04/25/2023,$44.01,5938259,$43.58,$44.175,$43.55
04/24/2023,$43.86,4216574,$43.28,$44.14,$43.18
04/21/2023,$43.11,3139257,$43.37,$43.37,$42.76
04/20/2023,$43.38,3624433,$43.35,$43.71,$43.22
04/19/2023,$43.71,4043299,$43.85,$44.145,$43.525
04/18/2023,$44.04,3709798,$44.14,$44.40,$43.86
04/17/2023,$43.78,3693310,$44.00,$44.00,$43.45
04/14/2023,$43.53,3603759,$43.54,$44.16,$43.135
04/13/2023,$43.61,3875651,$42.97,$43.62,$42.86
04/12/2023,$42.78,4312335,$43.96,$44.11,$42.485
04/11/2023,$43.50,3668577,$43.29,$43.72,$43.015
04/10/2023,$43.40,3279527,$43.09,$43.67,$43.09
04/06/2023,$43.57,3629646,$43.64,$43.83,$43.2407
04/05/2023,$43.85,3836527,$44.25,$44.26,$43.695
04/04/2023,$44.33,3509197,$44.625,$44.625,$43.825
04/03/2023,$44.28,3539729,$44.15,$44.345,$43.835
03/31/2023,$44.37,4053584,$44.075,$44.415,$43.74
03/30/2023,$43.91,3459578,$44.158,$44.325,$43.625
03/29/2023,$43.63,3587984,$43.20,$43.67,$43.20
03/28/2023,$42.87,2827172,$42.72,$43.00,$42.56
03/27/2023,$42.60,4040342,$42.77,$43.02,$42.55
03/24/2023,$42.66,4541786,$42.21,$42.855,$41.66
03/23/2023,$42.45,4808655,$43.09,$43.20,$42.02
03/22/2023,$42.86,5088139,$43.59,$44.09,$42.83
03/21/2023,$43.75,6122839,$43.14,$43.98,$43.10
03/20/2023,$43.04,6199781,$42.10,$43.465,$42.00
03/17/2023,$42.06,11506760,$41.15,$42.31,$40.94
03/16/2023,$41.45,6022478,$40.28,$41.62,$40.23
03/15/2023,$40.81,5740756,$40.49,$40.94,$40.13
03/14/2023,$41.16,6368433,$41.78,$41.95,$40.62
03/13/2023,$41.09,5946254,$41.62,$41.88,$41.02
03/10/2023,$42.04,4526942,$42.75,$42.87,$41.67
03/09/2023,$42.95,4091557,$44.02,$44.28,$42.915
03/08/2023,$44.26,6096572,$43.85,$44.335,$43.16
03/07/2023,$43.98,5326595,$44.86,$45.09,$43.825
03/06/2023,$44.75,5972821,$45.95,$46.095,$44.6412
03/03/2023,$46.04,3744187,$45.93,$46.24,$45.81
03/02/2023,$45.58,4142739,$45.50,$45.74,$45.305
03/01/2023,$45.75,4236351,$45.68,$46.27,$45.38
02/28/2023,$45.90,5338835,$45.71,$46.31,$45.58
02/27/2023,$45.80,5187685,$45.32,$45.85,$45.08
02/24/2023,$45.07,5795045,$44.71,$45.25,$44.31
02/23/2023,$45.35,12458850,$45.405,$45.89,$43.71
02/22/2023,$47.85,7391945,$48.12,$48.3301,$47.40
02/21/2023,$47.89,5947896,$47.89,$48.81,$47.82
02/17/2023,$48.24,5511958,$48.56,$48.70,$47.75
02/16/2023,$48.66,3760478,$48.62,$49.185,$48.29
02/15/2023,$49.65,3708079,$48.41,$49.66,$48.21
