Date,Close/Last,Volume,Open,High,Low
05/24/2023,$191.86,1744508,$194.93,$195.20,$190.89
05/23/2023,$194.97,2159034,$197.20,$197.57,$194.89
05/22/2023,$196.93,1763744,$197.05,$198.41,$195.22
05/19/2023,$197.35,2669524,$199.50,$200.26,$197.06
05/18/2023,$198.25,2438035,$195.45,$198.39,$194.89
05/17/2023,$196.02,2420950,$193.03,$196.4257,$192.535
05/16/2023,$191.61,2050805,$193.96,$193.96,$191.30
05/15/2023,$194.31,1565880,$193.50,$195.475,$192.65
05/12/2023,$193.62,2102037,$194.94,$195.35,$192.70
05/11/2023,$193.98,2870794,$195.93,$196.29,$193.20
05/10/2023,$197.34,2158477,$197.49,$198.74,$194.32
05/09/2023,$197.13,2237665,$195.96,$198.285,$194.96
05/08/2023,$196.95,1494474,$199.75,$199.98,$195.967
05/05/2023,$198.42,2088101,$197.34,$198.59,$196.78
05/04/2023,$196.22,2304847,$198.215,$199.00,$194.93
05/03/2023,$197.96,2775285,$199.85,$200.61,$197.71
05/02/2023,$198.26,2588338,$199.66,$199.66,$196.3701
05/01/2023,$200.48,2224861,$200.00,$202.155,$199.96
04/28/2023,$199.84,2851573,$199.00,$200.81,$198.49
04/27/2023,$198.61,3862369,$195.94,$198.85,$193.57
04/26/2023,$190.90,3579352,$193.88,$194.47,$190.18
04/25/2023,$195.96,2244307,$198.52,$198.91,$195.86
04/24/2023,$196.78,1605640,$197.21,$198.08,$196.27
04/21/2023,$196.08,1970694,$197.09,$197.35,$195.40
04/20/2023,$196.75,1947074,$197.50,$197.76,$196.00
04/19/2023,$197.81,1864129,$198.25,$198.66,$197.22
04/18/2023,$196.93,2399951,$198.72,$199.47,$196.22
04/17/2023,$197.86,1682747,$197.18,$198.07,$196.74
04/14/2023,$196.55,1964058,$195.63,$197.73,$195.25
04/13/2023,$195.90,3360733,$193.25,$196.42,$192.60
04/12/2023,$193.23,3656911,$193.46,$194.87,$192.33
04/11/2023,$192.19,2435597,$192.88,$193.16,$191.82
04/10/2023,$191.68,2540349,$190.74,$192.60,$190.32
04/06/2023,$190.46,2782289,$189.61,$192.11,$189.01
04/05/2023,$189.43,3030036,$190.29,$191.01,$189.28
04/04/2023,$190.94,2499133,$193.12,$193.23,$189.68
04/03/2023,$193.28,2873741,$190.57,$193.90,$189.96
03/31/2023,$191.12,2702570,$190.12,$191.38,$189.33
03/30/2023,$189.12,1999467,$189.61,$190.44,$187.98
03/29/2023,$189.07,2684187,$189.66,$189.71,$187.765
03/28/2023,$187.92,2069760,$187.75,$189.61,$187.40
03/27/2023,$187.99,2133141,$188.63,$189.5949,$187.43
03/24/2023,$188.16,2332277,$186.39,$188.22,$184.60
03/23/2023,$186.92,2360130,$186.86,$189.4161,$185.55
03/22/2023,$187.16,2348725,$191.72,$192.00,$187.08
03/21/2023,$191.16,3133912,$191.07,$192.14,$189.15
03/20/2023,$189.88,2840845,$185.96,$190.24,$185.51
03/17/2023,$184.64,7383864,$187.81,$188.005,$184.23
03/16/2023,$189.14,3897012,$187.37,$189.77,$186.30
03/15/2023,$188.12,3926282,$190.07,$191.01,$184.76
03/14/2023,$192.97,4853203,$196.06,$196.1739,$190.17
03/13/2023,$193.10,3223590,$193.00,$195.23,$192.17
