Date,Close/Last,Volume,Open,High,Low
05/24/2023,$61.80,14790300,$61.65,$62.215,$61.23
05/23/2023,$62.00,16815490,$63.03,$63.30,$61.84
05/22/2023,$63.03,20220610,$60.95,$63.15,$60.65
05/19/2023,$60.92,19398050,$61.90,$61.95,$60.708
05/18/2023,$61.27,19820500,$61.46,$61.655,$60.46
05/17/2023,$61.46,19938700,$61.15,$61.7199,$60.40
05/16/2023,$60.80,17517510,$61.80,$61.9751,$60.75
05/15/2023,$62.25,20633510,$61.75,$62.7292,$61.58
05/12/2023,$61.69,28711130,$64.10,$64.18,$61.31
05/11/2023,$64.18,27903280,$63.45,$64.375,$62.64
05/10/2023,$63.38,46309070,$66.50,$66.59,$62.78
05/09/2023,$65.905,68702550,$69.53,$69.68,$65.85
05/08/2023,$75.52,22864050,$75.71,$76.38,$74.915
05/05/2023,$74.97,11954240,$72.96,$75.08,$72.94
05/04/2023,$71.81,10230510,$71.77,$73.05,$71.755
05/03/2023,$71.43,11865700,$72.41,$72.99,$71.35
05/02/2023,$72.28,12766950,$74.82,$75.06,$71.93
05/01/2023,$75.11,6857876,$76.03,$76.50,$74.97
04/28/2023,$76.00,10718870,$74.24,$76.05,$73.92
04/27/2023,$74.27,11420110,$73.00,$74.37,$72.96
04/26/2023,$72.06,9068775,$71.21,$72.765,$71.03
04/25/2023,$71.78,10255780,$73.90,$74.29,$71.76
04/24/2023,$74.29,7460807,$74.41,$74.8725,$73.38
04/21/2023,$74.18,8591139,$73.40,$74.24,$72.92
04/20/2023,$73.58,8847643,$74.40,$74.97,$73.47
04/19/2023,$75.32,8888295,$75.30,$75.94,$74.10
04/18/2023,$76.42,7558905,$77.71,$77.94,$76.2101
04/17/2023,$77.33,9717635,$76.835,$77.95,$76.55
04/14/2023,$76.53,8902653,$75.20,$76.735,$75.15
04/13/2023,$75.52,8724140,$73.71,$75.56,$73.56
04/12/2023,$73.50,10422320,$73.94,$75.70,$73.35
04/11/2023,$73.58,14190880,$76.03,$76.44,$73.21
04/10/2023,$74.52,7591754,$74.46,$74.855,$73.46
04/06/2023,$74.96,10524540,$73.27,$75.00,$72.28
04/05/2023,$73.61,10812730,$75.11,$75.11,$73.115
04/04/2023,$75.26,8949082,$75.46,$75.69,$74.73
04/03/2023,$75.29,8911724,$75.625,$75.92,$74.705
03/31/2023,$75.94,8378585,$74.51,$76.03,$74.12
03/30/2023,$74.39,8429763,$74.93,$75.18,$73.9001
03/29/2023,$74.18,8746697,$73.21,$74.30,$73.00
03/28/2023,$72.70,9252414,$73.10,$73.59,$71.86
03/27/2023,$73.30,11908870,$74.815,$75.17,$73.18
03/24/2023,$73.88,9181929,$71.92,$73.90,$71.53
03/23/2023,$72.56,18567640,$72.95,$74.51,$71.71
03/22/2023,$74.34,11641250,$76.86,$77.115,$74.24
03/21/2023,$76.72,12327580,$74.14,$76.84,$74.07
03/20/2023,$73.21,16888460,$73.00,$74.14,$72.02
03/17/2023,$72.99,27210440,$73.95,$75.065,$72.4783
03/16/2023,$74.35,11652240,$73.435,$74.505,$72.52
03/15/2023,$73.91,10548730,$72.11,$73.94,$71.77
03/14/2023,$73.24,12491520,$74.075,$74.67,$72.675
03/13/2023,$72.61,14049000,$72.622,$73.97,$71.0856
03/10/2023,$73.43,13123840,$75.94,$75.94,$73.10
03/09/2023,$75.93,17398180,$76.96,$79.2651,$75.725
03/08/2023,$75.84,9467869,$75.16,$76.20,$74.35
03/07/2023,$74.91,9680412,$76.54,$77.38,$74.79
03/06/2023,$76.78,9608557,$76.94,$77.76,$76.36
03/03/2023,$76.29,10040040,$74.16,$76.32,$74.09
03/02/2023,$74.10,7736316,$72.624,$74.3699,$72.60
03/01/2023,$73.82,7699553,$73.63,$74.22,$73.25
02/28/2023,$73.60,8607417,$73.53,$74.34,$73.13
02/27/2023,$73.77,8579281,$74.32,$74.565,$73.46
02/24/2023,$73.55,12317670,$73.50,$74.03,$72.98
02/23/2023,$75.19,9292018,$75.89,$76.28,$73.6259
