Date,Close/Last,Volume,Open,High,Low
05/24/2023,$135.84,1410088,$135.53,$137.1799,$135.32
05/23/2023,$135.78,1595353,$136.91,$136.92,$134.53
05/22/2023,$137.25,1940596,$137.43,$139.335,$136.1901
05/19/2023,$137.43,3795874,$140.20,$141.20,$135.96
05/18/2023,$139.63,12475960,$138.38,$141.96,$134.76
05/17/2023,$125.02,4367464,$123.49,$125.94,$121.72
05/16/2023,$124.05,1635618,$123.77,$124.545,$122.44
05/15/2023,$125.07,1458826,$125.52,$125.98,$123.56
05/12/2023,$125.26,886482,$126.00,$126.08,$124.46
05/11/2023,$125.57,1357983,$125.11,$127.615,$124.81
05/10/2023,$124.74,1355762,$126.27,$126.77,$123.415
05/09/2023,$124.60,1044839,$125.49,$125.58,$124.01
05/08/2023,$125.69,1117195,$124.26,$125.94,$123.95
05/05/2023,$124.51,1452064,$120.40,$124.81,$119.91
05/04/2023,$120.28,1568926,$122.56,$122.56,$119.565
05/03/2023,$122.14,1210340,$121.93,$123.47,$121.70
05/02/2023,$121.62,1666660,$123.72,$125.07,$120.28
05/01/2023,$124.14,1403535,$124.00,$125.97,$123.745
04/28/2023,$124.29,1511223,$123.81,$124.98,$123.10
04/27/2023,$123.95,1826309,$122.46,$124.29,$121.95
04/26/2023,$121.60,3108350,$125.99,$126.13,$120.84
04/25/2023,$127.01,1678042,$127.13,$128.30,$126.721
04/24/2023,$127.79,1958218,$124.61,$128.00,$124.265
04/21/2023,$124.99,916976,$125.16,$125.4799,$124.77
04/20/2023,$125.14,1158589,$122.90,$125.39,$122.77
04/19/2023,$123.35,979736,$123.33,$124.43,$122.99
04/18/2023,$124.31,1108185,$124.18,$124.73,$123.23
04/17/2023,$124.38,1228577,$123.00,$124.83,$122.63
04/14/2023,$123.07,1304317,$121.82,$123.21,$121.50
04/13/2023,$122.01,1299200,$120.70,$123.06,$120.70
04/12/2023,$119.68,1195568,$118.75,$121.09,$118.50
04/11/2023,$120.39,1204302,$120.73,$121.79,$120.32
04/10/2023,$121.04,942278,$118.024,$121.23,$117.35
04/06/2023,$119.00,1508384,$120.50,$120.98,$118.73
04/05/2023,$120.98,1142749,$121.49,$121.49,$118.99
04/04/2023,$121.64,1647692,$119.12,$121.84,$118.75
04/03/2023,$118.69,1350113,$118.78,$119.425,$118.10
03/31/2023,$119.30,1436157,$117.07,$119.92,$116.71
03/30/2023,$116.59,859328,$117.64,$117.70,$115.88
03/29/2023,$116.67,770939,$116.26,$116.90,$115.30
03/28/2023,$115.55,983470,$116.17,$116.94,$114.84
03/27/2023,$116.98,1036849,$118.20,$118.50,$116.14
03/24/2023,$118.12,1177984,$118.82,$120.035,$117.11
03/23/2023,$117.48,2357595,$114.00,$119.03,$114.00
03/22/2023,$113.56,1373670,$118.32,$118.57,$113.51
03/21/2023,$118.59,1537362,$116.48,$119.235,$115.745
03/20/2023,$116.31,1974404,$115.59,$117.06,$115.365
03/17/2023,$116.28,2835222,$116.00,$116.44,$114.51
03/16/2023,$115.55,1516560,$113.11,$115.93,$112.43
03/15/2023,$113.31,1086902,$113.09,$113.90,$111.75
03/14/2023,$113.81,1267413,$112.50,$115.31,$111.945
03/13/2023,$111.33,1215455,$110.24,$112.38,$108.39
03/10/2023,$110.58,1429573,$112.25,$113.40,$109.69
03/09/2023,$112.96,1283701,$116.26,$117.10,$112.70
03/08/2023,$116.31,820073,$116.39,$116.99,$115.71
03/07/2023,$116.88,2273492,$115.96,$119.45,$115.83
03/06/2023,$115.71,1461487,$117.00,$118.94,$115.61
03/03/2023,$116.70,2119629,$115.79,$116.96,$115.50
03/02/2023,$115.28,4321655,$111.26,$115.29,$111.01
03/01/2023,$108.70,1011868,$109.91,$110.59,$108.48
02/28/2023,$109.55,1418288,$110.20,$111.10,$109.20
02/27/2023,$110.08,1204349,$110.14,$111.1099,$109.39
02/24/2023,$109.30,1218301,$108.76,$110.37,$107.92
02/23/2023,$110.37,1190644,$111.52,$111.887,$109.405
02/22/2023,$111.24,1634822,$112.38,$113.08,$110.60
02/21/2023,$112.02,1801017,$111.47,$113.27,$111.04
02/17/2023,$112.51,1355305,$111.17,$113.12,$110.32
02/16/2023,$112.52,1349340,$114.63,$115.185,$112.18
02/15/2023,$115.95,1855344,$111.97,$116.03,$111.7091
02/14/2023,$112.09,1511697,$109.39,$112.21,$108.82
02/13/2023,$111.38,1400536,$111.40,$112.56,$110.5276
02/10/2023,$111.10,1535119,$110.30,$111.49,$109.33
02/09/2023,$110.88,1919766,$111.53,$113.2803,$109.93
02/08/2023,$110.45,2675517,$112.74,$114.45,$110.19
02/07/2023,$113.85,5481620,$106.90,$115.21,$106.3101
02/06/2023,$105.56,5255695,$107.50,$108.12,$104.13
02/03/2023,$109.28,3255303,$112.32,$112.70,$108.87
02/02/2023,$114.72,2889812,$114.08,$114.73,$112.065
02/01/2023,$112.25,3239451,$111.245,$112.66,$108.76
01/31/2023,$113.23,1346650,$112.53,$113.79,$112.45
01/30/2023,$112.66,1368868,$113.10,$114.54,$112.335
01/27/2023,$114.28,1864939,$114.10,$115.335,$113.36
01/26/2023,$111.89,1252975,$111.85,$112.25,$110.56
01/25/2023,$110.70,1821389,$109.59,$111.39,$109.265
01/24/2023,$111.27,1245899,$110.47,$111.66,$109.05
01/23/2023,$110.665,1939606,$107.13,$110.94,$106.77
01/20/2023,$106.59,1458445,$103.38,$106.72,$103.13
01/19/2023,$102.26,1164008,$103.00,$103.44,$101.77
01/18/2023,$103.22,1274548,$104.54,$105.75,$103.05
01/17/2023,$104.54,1438926,$105.03,$105.64,$103.25
01/13/2023,$105.03,1437753,$103.41,$105.09,$103.06
01/12/2023,$104.29,1775736,$104.91,$105.055,$101.53
01/11/2023,$105.26,1715765,$105.98,$106.925,$104.41
01/10/2023,$105.53,1313786,$104.79,$106.68,$104.79
01/09/2023,$105.10,2185773,$105.26,$107.29,$104.915
01/06/2023,$104.75,2602757,$107.08,$107.08,$103.27
01/05/2023,$105.96,1218449,$106.77,$106.95,$105.32
01/04/2023,$106.77,1474836,$103.50,$108.63,$103.50
01/03/2023,$103.11,1668590,$105.26,$106.26,$102.38
12/30/2022,$104.13,1749700,$100.17,$104.46,$99.97
12/29/2022,$101.34,1526434,$100.19,$102.78,$100.045
12/28/2022,$99.69,1928781,$99.42,$99.73,$98.55
12/27/2022,$99.38,1225139,$99.34,$99.58,$97.78
12/23/2022,$99.83,1153988,$98.98,$99.93,$98.70
12/22/2022,$99.27,1856550,$98.92,$99.76,$97.35
12/21/2022,$99.88,1657207,$98.20,$99.92,$97.23
12/20/2022,$98.11,2379042,$97.78,$99.4499,$97.2051
12/19/2022,$98.59,3426160,$100.37,$100.60,$98.23
12/16/2022,$100.76,3206359,$101.34,$101.71,$100.35
12/15/2022,$101.66,1776256,$103.35,$103.7966,$100.39
12/14/2022,$104.81,1675106,$104.32,$106.86,$104.22
12/13/2022,$104.55,2530797,$105.93,$108.94,$102.16
12/12/2022,$102.61,1770558,$102.42,$103.32,$100.3875
12/09/2022,$102.06,1656837,$100.83,$102.16,$99.41
12/08/2022,$100.79,1558700,$99.50,$101.29,$98.20
12/07/2022,$99.49,1885678,$100.90,$102.37,$98.67
12/06/2022,$101.27,2180508,$106.37,$107.40,$101.03
12/05/2022,$106.98,2042203,$108.36,$109.80,$106.40
12/02/2022,$108.76,1857906,$105.78,$108.88,$105.47
12/01/2022,$106.40,1587043,$106.21,$107.42,$104.80
11/30/2022,$105.69,4514137,$101.28,$105.84,$100.135
11/29/2022,$101.35,1522720,$101.49,$101.97,$100.10
11/28/2022,$101.26,1387645,$102.39,$103.04,$100.48
11/25/2022,$102.63,939706,$102.47,$103.67,$102.24
11/23/2022,$103.15,1170678,$100.73,$103.23,$99.576
11/22/2022,$100.29,1714242,$97.515,$100.47,$96.00
11/21/2022,$97.43,1955231,$98.33,$99.045,$96.42
11/18/2022,$98.77,1992977,$101.02,$101.02,$98.50
11/17/2022,$99.66,1711106,$98.01,$100.02,$97.12
11/16/2022,$100.81,2506010,$100.68,$102.665,$100.13
11/15/2022,$101.03,2545878,$102.11,$103.17,$99.33
11/14/2022,$99.88,2824066,$102.24,$103.72,$99.84
11/11/2022,$102.25,4107040,$98.95,$104.05,$98.16
11/10/2022,$98.57,3100728,$98.42,$99.645,$96.25
11/09/2022,$94.09,3967934,$93.27,$95.57,$92.76
11/08/2022,$93.57,19320530,$91.90,$98.95,$90.00
11/07/2022,$108.40,5450743,$108.60,$109.39,$106.22
11/04/2022,$108.53,2524723,$111.63,$111.95,$107.75
11/03/2022,$111.30,1307611,$112.085,$113.93,$109.9342
11/02/2022,$113.55,2104681,$115.07,$118.44,$113.30
11/01/2022,$116.31,1943719,$120.44,$122.74,$115.96
10/31/2022,$118.48,2593618,$123.37,$123.47,$117.65
10/28/2022,$124.02,1388350,$122.78,$124.28,$122.24
10/27/2022,$122.74,1268771,$123.64,$125.32,$121.35
10/26/2022,$123.62,1435611,$124.03,$126.40,$122.81
10/25/2022,$125.03,1309102,$123.57,$125.61,$122.73
10/24/2022,$123.11,1103582,$125.76,$125.81,$120.64
