Date,Close/Last,Volume,Open,High,Low
05/24/2023,$8.65,28774570,$8.26,$8.78,$8.00
05/23/2023,$9.11,10653360,$9.20,$9.31,$9.08
05/22/2023,$9.41,10011710,$9.26,$9.65,$9.20
05/19/2023,$9.02,11745550,$9.05,$9.25,$8.91
05/18/2023,$9.13,11910960,$9.41,$9.45,$9.05
05/17/2023,$9.58,9014739,$9.38,$9.66,$9.28
05/16/2023,$9.51,6173220,$9.58,$9.64,$9.37
05/15/2023,$9.80,6707446,$9.91,$9.91,$9.51
05/12/2023,$9.82,21452760,$10.11,$10.16,$9.60
05/11/2023,$10.75,11238660,$10.28,$10.765,$10.21
05/10/2023,$10.30,8360120,$10.24,$10.43,$9.995
05/09/2023,$10.09,12001600,$9.95,$10.56,$9.875
05/08/2023,$10.55,7749243,$10.62,$10.81,$10.39
05/05/2023,$10.40,9058528,$10.24,$10.61,$10.21
05/04/2023,$10.15,14572580,$9.86,$10.31,$9.69
05/03/2023,$9.67,6751404,$9.58,$9.88,$9.56
05/02/2023,$9.75,7743745,$9.73,$9.895,$9.57
05/01/2023,$9.90,10709290,$9.39,$9.94,$9.275
04/28/2023,$9.50,5881956,$9.55,$9.64,$9.40
04/27/2023,$9.73,8218550,$9.30,$9.75,$9.27
04/26/2023,$9.18,11518370,$9.30,$9.53,$8.985
04/25/2023,$8.84,16162250,$9.14,$9.25,$8.63
04/24/2023,$9.29,8081652,$9.25,$9.36,$9.1809
04/21/2023,$9.25,9199776,$9.30,$9.335,$9.02
04/20/2023,$9.33,14656440,$9.615,$9.62,$9.14
04/19/2023,$9.87,22457120,$10.48,$10.50,$9.81
04/18/2023,$11.28,11252980,$11.14,$11.55,$11.12
04/17/2023,$11.43,18578130,$11.04,$11.43,$10.93
04/14/2023,$9.92,6293731,$9.84,$10.20,$9.75
04/13/2023,$9.98,7151867,$10.10,$10.18,$9.7715
04/12/2023,$9.91,8763546,$10.42,$10.47,$9.90
04/11/2023,$10.49,10333190,$10.48,$10.771,$10.41
04/10/2023,$10.28,4984376,$10.04,$10.315,$9.99
04/06/2023,$10.26,5016416,$10.30,$10.385,$10.11
04/05/2023,$10.04,7666538,$10.09,$10.16,$9.82
04/04/2023,$10.20,10612350,$10.56,$10.72,$10.02
04/03/2023,$11.00,11725050,$11.45,$11.55,$10.7712
03/31/2023,$11.11,10706950,$11.24,$11.52,$11.08
03/30/2023,$11.39,14934540,$11.42,$11.68,$11.26
03/29/2023,$11.19,27400110,$10.575,$11.50,$10.54
03/28/2023,$10.25,14596900,$10.22,$10.32,$10.04
03/27/2023,$9.71,7217952,$9.66,$9.87,$9.50
